freq_Hz,anechoic_dB,inroom_dB,level_corr_dB,post_dsp_dB,room_gain_dB,room_hf_abs_dB,room_tf_dB,harman_target_dB,dsp_correction_dB,dsp_correction_smoothed_dB,woofer_dB,mid_dB,tweeter_dB
53.71,-4.9177,4.0823,4.0823,2.7230,9.0000,-0.0000,9.0000,2.7163,-1.3660,-1.3593,-4.9420,-56.0050,-163.9658
53.90,-4.9018,4.0982,4.0982,2.7187,9.0000,-0.0000,9.0000,2.7120,-1.3861,-1.3795,-4.9267,-55.7630,-163.8441
54.09,-4.8861,4.1139,4.1139,2.7143,9.0000,-0.0000,9.0000,2.7078,-1.4061,-1.3996,-4.9117,-55.5205,-163.7224
54.28,-4.8705,4.1295,4.1295,2.7099,9.0000,-0.0000,9.0000,2.7035,-1.4260,-1.4196,-4.8968,-55.2775,-163.6007
54.47,-4.8551,4.1449,4.1449,2.7055,9.0000,-0.0000,9.0000,2.6991,-1.4457,-1.4394,-4.8821,-55.0342,-163.4790
54.66,-4.8399,4.1601,4.1601,2.7011,9.0000,-0.0000,9.0000,2.6948,-1.4653,-1.4590,-4.8676,-54.7904,-163.3573
54.85,-4.8248,4.1752,4.1752,2.6967,9.0000,-0.0000,9.0000,2.6904,-1.4847,-1.4785,-4.8532,-54.5462,-163.2355
55.05,-4.8099,4.1901,4.1901,2.6923,9.0000,-0.0000,9.0000,2.6861,-1.5041,-1.4979,-4.8390,-54.3015,-163.1138
55.24,-4.7951,4.2049,4.2049,2.6878,9.0000,-0.0000,9.0000,2.6817,-1.5232,-1.5171,-4.8250,-54.0565,-162.9921
55.43,-4.7804,4.2196,4.2196,2.6834,9.0000,-0.0000,9.0000,2.6773,-1.5423,-1.5362,-4.8112,-53.8109,-162.8704
55.63,-4.7659,4.2341,4.2341,2.6790,9.0000,-0.0000,9.0000,2.6729,-1.5612,-1.5551,-4.7975,-53.5650,-162.7487
55.82,-4.7515,4.2485,4.2485,2.6745,9.0000,-0.0000,9.0000,2.6684,-1.5800,-1.5739,-4.7840,-53.3186,-162.6270
56.02,-4.7373,4.2627,4.2627,2.6701,9.0000,-0.0000,9.0000,2.6640,-1.5987,-1.5926,-4.7706,-53.0717,-162.5052
56.22,-4.7232,4.2768,4.2768,2.6656,9.0000,-0.0000,9.0000,2.6595,-1.6173,-1.6112,-4.7574,-52.8244,-162.3835
56.41,-4.7092,4.2908,4.2908,2.6612,9.0000,-0.0000,9.0000,2.6550,-1.6358,-1.6296,-4.7444,-52.5767,-162.2618
56.61,-4.6954,4.3046,4.3046,2.6567,9.0000,-0.0000,9.0000,2.6505,-1.6541,-1.6479,-4.7315,-52.3409,-162.1401
56.81,-4.6819,4.3181,4.3181,2.6520,9.0000,-0.0000,9.0000,2.6460,-1.6721,-1.6661,-4.7187,-52.1522,-162.0184
57.01,-4.6686,4.3314,4.3314,2.6473,9.0000,-0.0000,9.0000,2.6415,-1.6899,-1.6841,-4.7061,-51.9632,-161.8967
57.21,-4.6553,4.3447,4.3447,2.6426,9.0000,-0.0000,9.0000,2.6369,-1.7077,-1.7021,-4.6937,-51.7740,-161.7750
57.41,-4.6423,4.3577,4.3577,2.6379,9.0000,-0.0000,9.0000,2.6324,-1.7254,-1.7199,-4.6814,-51.5846,-161.6532
57.61,-4.6293,4.3707,4.3707,2.6332,9.0000,-0.0000,9.0000,2.6278,-1.7429,-1.7375,-4.6692,-51.3949,-161.5315
57.81,-4.6164,4.3836,4.3836,2.6285,9.0000,-0.0000,9.0000,2.6232,-1.7603,-1.7551,-4.6572,-51.2050,-161.4098
58.02,-4.6037,4.3963,4.3963,2.6238,9.0000,-0.0000,9.0000,2.6186,-1.7777,-1.7725,-4.6453,-51.0148,-161.2881
58.22,-4.5911,4.4089,4.4089,2.6191,9.0000,-0.0000,9.0000,2.6140,-1.7949,-1.7898,-4.6336,-50.8244,-161.1664
58.42,-4.5786,4.4214,4.4214,2.6144,9.0000,-0.0000,9.0000,2.6093,-1.8120,-1.8069,-4.6220,-50.6337,-161.0447
58.63,-4.5663,4.4337,4.4337,2.6097,9.0000,-0.0000,9.0000,2.6047,-1.8291,-1.8240,-4.6105,-50.4428,-160.9229
58.84,-4.5540,4.4460,4.4460,2.6050,9.0000,-0.0000,9.0000,2.6000,-1.8460,-1.8410,-4.5992,-50.2516,-160.8012
59.04,-4.5418,4.4582,4.4582,2.6004,9.0000,-0.0000,9.0000,2.5953,-1.8629,-1.8578,-4.5880,-50.0602,-160.6795
59.25,-4.5298,4.4702,4.4702,2.5957,9.0000,-0.0000,9.0000,2.5906,-1.8796,-1.8745,-4.5769,-49.8685,-160.5578
59.46,-4.5178,4.4822,4.4822,2.5911,9.0000,-0.0000,9.0000,2.5859,-1.8963,-1.8911,-4.5659,-49.6766,-160.4361
59.67,-4.5060,4.4940,4.4940,2.5864,9.0000,-0.0000,9.0000,2.5811,-1.9129,-1.9076,-4.5551,-49.4844,-160.3144
59.88,-4.4942,4.5058,4.5058,2.5818,9.0000,-0.0000,9.0000,2.5764,-1.9294,-1.9240,-4.5444,-49.2920,-160.1926
60.09,-4.4829,4.5171,4.5171,2.5769,9.0000,-0.0000,9.0000,2.5716,-1.9455,-1.9403,-4.5338,-49.1458,-160.0709
60.30,-4.4717,4.5283,4.5283,2.5719,9.0000,-0.0000,9.0000,2.5668,-1.9615,-1.9564,-4.5233,-49.0160,-159.9492
60.51,-4.4606,4.5394,4.5394,2.5669,9.0000,-0.0000,9.0000,2.5620,-1.9774,-1.9725,-4.5130,-48.8861,-159.8275
60.72,-4.4496,4.5504,4.5504,2.5619,9.0000,-0.0000,9.0000,2.5572,-1.9932,-1.9885,-4.5027,-48.7563,-159.7058
60.93,-4.4388,4.5612,4.5612,2.5569,9.0000,-0.0000,9.0000,2.5524,-2.0089,-2.0044,-4.4926,-48.6264,-159.5841
61.15,-4.4280,4.5720,4.5720,2.5519,9.0000,-0.0000,9.0000,2.5475,-2.0245,-2.0201,-4.4825,-48.4964,-159.4624
