freq_Hz,woofer_mag_dB,woofer_phase_deg,mid_mag_dB,mid_phase_deg,tweeter_mag_dB,tweeter_phase_deg,sum_mag_dB,sum_phase_deg
21.761,-0.0038,-23.6731,-67.0767,153.5054,-140.7383,177.1785,-0.0077,-23.6718
21.892,-0.0039,-23.8175,-66.8683,153.3440,-140.5298,177.1615,-0.0079,-23.8162
22.024,-0.0040,-23.9629,-66.6598,153.1815,-140.3213,177.1444,-0.0081,-23.9616
22.156,-0.0041,-24.1091,-66.4514,153.0181,-140.1128,177.1272,-0.0083,-24.1078
22.290,-0.0042,-24.2563,-66.2430,152.8536,-139.9043,177.1099,-0.0085,-24.2549
22.424,-0.0043,-24.4044,-66.0346,152.6881,-139.6958,177.0925,-0.0087,-24.4030
22.559,-0.0044,-24.5534,-65.8262,152.5216,-139.4873,177.0750,-0.0089,-24.5519
22.695,-0.0046,-24.7034,-65.6178,152.3540,-139.2788,177.0574,-0.0091,-24.7019
22.831,-0.0047,-24.8543,-65.4095,152.1854,-139.0703,177.0397,-0.0093,-24.8527
22.969,-0.0048,-25.0062,-65.2011,152.0157,-138.8618,177.0219,-0.0095,-25.0045
23.107,-0.0049,-25.1590,-64.9927,151.8450,-138.6533,177.0039,-0.0098,-25.1573
23.246,-0.0050,-25.3127,-64.7843,151.6732,-138.4448,176.9859,-0.0100,-25.3110
23.386,-0.0051,-25.4675,-64.5759,151.5003,-138.2363,176.9678,-0.0103,-25.4657
23.527,-0.0053,-25.6232,-64.3675,151.3263,-138.0278,176.9495,-0.0105,-25.6213
23.668,-0.0054,-25.7799,-64.1592,151.1513,-137.8193,176.9311,-0.0108,-25.7780
23.811,-0.0055,-25.9375,-63.9508,150.9751,-137.6108,176.9127,-0.0110,-25.9356
23.954,-0.0056,-26.0962,-63.7424,150.7979,-137.4023,176.8941,-0.0113,-26.0942
24.098,-0.0058,-26.2559,-63.5340,150.6195,-137.1938,176.8754,-0.0116,-26.2538
24.243,-0.0059,-26.4165,-63.3257,150.4400,-136.9853,176.8566,-0.0118,-26.4144
24.389,-0.0061,-26.5782,-63.1173,150.2594,-136.7768,176.8376,-0.0121,-26.5760
24.536,-0.0062,-26.7409,-62.9090,150.0776,-136.5683,176.8186,-0.0124,-26.7387
24.684,-0.0064,-26.9047,-62.7006,149.8948,-136.3598,176.7994,-0.0127,-26.9023
24.832,-0.0065,-27.0694,-62.4923,149.7107,-136.1512,176.7802,-0.0130,-27.0670
24.982,-0.0067,-27.2353,-62.2839,149.5255,-135.9427,176.7608,-0.0134,-27.2328
25.132,-0.0068,-27.4021,-62.0756,149.3391,-135.7342,176.7413,-0.0137,-27.3996
25.284,-0.0070,-27.5700,-61.8672,149.1516,-135.5257,176.7217,-0.0140,-27.5674
25.436,-0.0072,-27.7390,-61.6589,148.9629,-135.3172,176.7019,-0.0144,-27.7363
25.589,-0.0074,-27.9091,-61.4506,148.7730,-135.1087,176.6821,-0.0147,-27.9063
25.743,-0.0075,-28.0802,-61.2423,148.5819,-134.9002,176.6621,-0.0151,-28.0773
25.898,-0.0077,-28.2524,-61.0339,148.3896,-134.6917,176.6420,-0.0154,-28.2494
26.054,-0.0079,-28.4257,-60.8256,148.1960,-134.4832,176.6218,-0.0158,-28.4227
26.211,-0.0081,-28.6001,-60.6173,148.0013,-134.2747,176.6014,-0.0162,-28.5970
26.368,-0.0083,-28.7757,-60.4090,147.8053,-134.0662,176.5810,-0.0166,-28.7724
26.527,-0.0085,-28.9523,-60.2007,147.6081,-133.8577,176.5604,-0.0170,-28.9489
26.687,-0.0087,-29.1301,-59.9924,147.4096,-133.6492,176.5397,-0.0174,-29.1266
26.847,-0.0089,-29.3089,-59.7841,147.2099,-133.4407,176.5188,-0.0178,-29.3054
27.009,-0.0091,-29.4890,-59.5758,147.0089,-133.2322,176.4979,-0.0182,-29.4853
27.172,-0.0093,-29.6702,-59.3676,146.8066,-133.0237,176.4768,-0.0187,-29.6664
27.335,-0.0096,-29.8525,-59.1593,146.6031,-132.8152,176.4556,-0.0191,-29.8486
27.500,-0.0098,-30.0360,-58.9510,146.3982,-132.6067,176.4342,-0.0196,-30.0320
27.665,-0.0100,-30.2207,-58.7427,146.1921,-132.3982,176.4128,-0.0201,-30.2165
27.832,-0.0103,-30.4065,-58.5345,145.9847,-132.1897,176.3912,-0.0206,-30.4022
27.999,-0.0105,-30.5935,-58.3262,145.7759,-131.9812,176.3694,-0.0211,-30.5891
28.168,-0.0108,-30.7818,-58.1180,145.5658,-131.7727,176.3476,-0.0216,-30.7772
