freq_Hz,woofer_dB,mid_dB,tweeter_dB,sum_dB
42.03,-6.5805,-66.1879,-172.4860,-6.5714
42.18,-6.5477,-66.0402,-172.3642,-6.5385
42.33,-6.5153,-65.8925,-172.2425,-6.5060
42.48,-6.4832,-65.7646,-172.1208,-6.4737
42.63,-6.4513,-65.6476,-171.9991,-6.4418
42.77,-6.4198,-65.5306,-171.8774,-6.4102
42.92,-6.3885,-65.4137,-171.7557,-6.3788
43.08,-6.3576,-65.2968,-171.6339,-6.3478
43.23,-6.3269,-65.1798,-171.5122,-6.3170
43.38,-6.2966,-65.0629,-171.3905,-6.2866
43.53,-6.2665,-64.9461,-171.2688,-6.2564
43.68,-6.2367,-64.8292,-171.1471,-6.2265
43.84,-6.2072,-64.7123,-171.0254,-6.1969
43.99,-6.1780,-64.5955,-170.9036,-6.1676
44.14,-6.1491,-64.4786,-170.7819,-6.1386
44.30,-6.1205,-64.3618,-170.6602,-6.1099
44.46,-6.0922,-64.2450,-170.5385,-6.0814
44.61,-6.0641,-64.1282,-170.4168,-6.0533
44.77,-6.0363,-64.0114,-170.2951,-6.0254
44.92,-6.0089,-63.9048,-170.1734,-5.9978
45.08,-5.9817,-63.8527,-170.0516,-5.9706
45.24,-5.9547,-63.8008,-169.9299,-5.9436
45.40,-5.9281,-63.7491,-169.8082,-5.9169
45.56,-5.9017,-63.6977,-169.6865,-5.8905
45.72,-5.8756,-63.6465,-169.5648,-5.8644
45.88,-5.8498,-63.5955,-169.4431,-5.8385
46.04,-5.8242,-63.5448,-169.3213,-5.8129
46.20,-5.7989,-63.4944,-169.1996,-5.7876
46.36,-5.7739,-63.4442,-169.0779,-5.7626
46.53,-5.7492,-63.3942,-168.9562,-5.7378
46.69,-5.7247,-63.3445,-168.8345,-5.7133
46.85,-5.7005,-63.2950,-168.7128,-5.6890
47.02,-5.6765,-63.2458,-168.5910,-5.6650
47.18,-5.6528,-63.1969,-168.4693,-5.6413
47.35,-5.6294,-63.1482,-168.3476,-5.6179
47.51,-5.6062,-63.0997,-168.2259,-5.5946
47.68,-5.5833,-62.9697,-168.1042,-5.5716
47.85,-5.5606,-62.7993,-167.9825,-5.5487
48.02,-5.5382,-62.6286,-167.8607,-5.5261
48.19,-5.5161,-62.4578,-167.7390,-5.5037
48.35,-5.4941,-62.2868,-167.6173,-5.4816
48.52,-5.4725,-62.1157,-167.4956,-5.4597
48.69,-5.4510,-61.9443,-167.3739,-5.4380
48.87,-5.4298,-61.7728,-167.2522,-5.4166
49.04,-5.4089,-61.6011,-167.1304,-5.3954
49.21,-5.3882,-61.4292,-167.0087,-5.3745
49.38,-5.3677,-61.2571,-166.8870,-5.3538
49.55,-5.3475,-61.0849,-166.7653,-5.3333
49.73,-5.3275,-60.9125,-166.6436,-5.3131
49.90,-5.3077,-60.7398,-166.5219,-5.2930
50.08,-5.2882,-60.5670,-166.4002,-5.2732
50.25,-5.2688,-60.3941,-166.2784,-5.2536
50.43,-5.2497,-60.2111,-166.1567,-5.2342
50.61,-5.2309,-59.9813,-166.0350,-5.2150
50.79,-5.2122,-59.7510,-165.9133,-5.1959
50.96,-5.1938,-59.5204,-165.7916,-5.1771
51.14,-5.1756,-59.2894,-165.6699,-5.1585
51.32,-5.1576,-59.0580,-165.5481,-5.1400
