freq_Hz,woofer_dB,mid_dB,tweeter_raw_dB,tweeter_trimmed_dB,system_sum_raw_dB,system_sum_matched_dB
102.003,82.9749,74.6181,-49.4766,-56.4766,85.7856,85.7856
102.407,82.9536,74.7310,-49.2402,-56.2402,85.8016,85.8016
102.812,82.9319,74.8437,-49.0038,-56.0038,85.8177,85.8177
103.219,82.9099,74.9560,-48.7673,-55.7673,85.8338,85.8338
103.628,82.8875,75.0679,-48.5309,-55.5309,85.8501,85.8501
104.038,82.8647,75.1796,-48.2944,-55.2944,85.8664,85.8664
104.450,82.8416,75.2909,-48.0580,-55.0580,85.8827,85.8827
104.864,82.8182,75.4019,-47.8216,-54.8216,85.8992,85.8992
105.279,82.7943,75.5125,-47.5852,-54.5852,85.9158,85.9158
105.696,82.7701,75.6228,-47.3487,-54.3487,85.9324,85.9324
106.114,82.7456,75.7327,-47.1123,-54.1123,85.9491,85.9491
106.534,82.7206,75.8423,-46.8759,-53.8759,85.9659,85.9659
106.956,82.6953,75.9516,-46.6394,-53.6394,85.9827,85.9827
107.379,82.6696,76.0605,-46.4030,-53.4030,85.9997,85.9997
107.805,82.6435,76.1690,-46.1666,-53.1666,86.0167,86.0167
108.231,82.6171,76.2772,-45.9302,-52.9302,86.0338,86.0338
108.660,82.5902,76.3850,-45.6937,-52.6937,86.0510,86.0510
109.090,82.5630,76.4925,-45.4573,-52.4573,86.0682,86.0682
109.522,82.5354,76.5996,-45.2209,-52.2209,86.0855,86.0855
109.956,82.5073,76.7063,-44.9845,-51.9845,86.1030,86.1029
110.391,82.4789,76.8126,-44.7481,-51.7481,86.1204,86.1204
110.828,82.4500,76.9185,-44.5116,-51.5116,86.1380,86.1380
111.267,82.4208,77.0241,-44.2752,-51.2752,86.1556,86.1556
111.707,82.3911,77.1293,-44.0388,-51.0388,86.1733,86.1733
112.150,82.3611,77.2341,-43.8024,-50.8024,86.1911,86.1911
112.594,82.3306,77.3385,-43.5660,-50.5660,86.2089,86.2089
113.039,82.2997,77.4425,-43.3296,-50.3296,86.2269,86.2269
113.487,82.2684,77.5461,-43.0932,-50.0932,86.2449,86.2449
113.936,82.2366,77.6492,-42.8568,-49.8568,86.2629,86.2629
114.387,82.2044,77.7520,-42.6204,-49.6204,86.2811,86.2811
114.840,82.1718,77.8544,-42.3840,-49.3840,86.2993,86.2993
115.295,82.1388,77.9564,-42.1476,-49.1476,86.3175,86.3175
115.751,82.1053,78.0579,-41.9112,-48.9112,86.3359,86.3359
116.210,82.0714,78.1590,-41.6748,-48.6748,86.3543,86.3543
116.670,82.0370,78.2597,-41.4384,-48.4384,86.3727,86.3727
117.132,82.0022,78.3600,-41.2020,-48.2020,86.3912,86.3912
117.595,81.9670,78.4599,-40.9656,-47.9656,86.4098,86.4098
118.061,81.9313,78.5593,-40.7292,-47.7292,86.4285,86.4285
118.528,81.8951,78.6583,-40.4928,-47.4928,86.4472,86.4472
118.998,81.8585,78.7568,-40.2564,-47.2564,86.4660,86.4660
119.469,81.8214,78.8549,-40.0201,-47.0201,86.4848,86.4848
119.942,81.7838,78.9526,-39.7837,-46.7837,86.5037,86.5037
120.417,81.7458,79.0498,-39.5473,-46.5473,86.5226,86.5226
120.893,81.7074,79.1465,-39.3109,-46.3109,86.5416,86.5416
121.372,81.6684,79.2428,-39.0745,-46.0745,86.5606,86.5606
121.852,81.6290,79.3387,-38.8382,-45.8382,86.5797,86.5797
122.335,81.5891,79.4341,-38.6018,-45.6018,86.5989,86.5989
122.819,81.5487,79.5290,-38.3654,-45.3654,86.6180,86.6180
123.305,81.5079,79.6235,-38.1291,-45.1291,86.6373,86.6373
123.794,81.4665,79.7175,-37.8927,-44.8927,86.6566,86.6565
124.284,81.4247,79.8110,-37.6563,-44.6563,86.6759,86.6759
124.776,81.3824,79.9041,-37.4200,-44.4200,86.6952,86.6952
125.270,81.3395,79.9967,-37.1836,-44.1836,86.7146,86.7146
125.766,81.2962,80.0888,-36.9473,-43.9473,86.7341,86.7341
126.264,81.2524,80.1804,-36.7109,-43.7109,86.7535,86.7535
126.764,81.2081,80.2715,-36.4746,-43.4746,86.7730,86.7730
127.266,81.1633,80.3622,-36.2382,-43.2382,86.7926,86.7926
127.769,81.1180,80.4523,-36.0019,-43.0019,86.8122,86.8122
128.275,81.0722,80.5420,-35.7655,-42.7655,86.8318,86.8318
128.783,81.0259,80.6312,-35.5292,-42.5292,86.8514,86.8514
129.293,80.9790,80.7199,-35.2929,-42.2929,86.8710,86.8710
129.805,80.9317,80.8081,-35.0565,-42.0565,86.8907,86.8907
130.319,80.8838,80.8958,-34.8202,-41.8202,86.9104,86.9104
130.835,80.8354,80.9830,-34.5839,-41.5839,86.9301,86.9301
131.353,80.7865,81.0696,-34.3476,-41.3476,86.9499,86.9498
131.873,80.7371,81.1558,-34.1112,-41.1112,86.9696,86.9696
132.395,80.6872,81.2415,-33.8749,-40.8749,86.9894,86.9894
132.919,80.6367,81.3267,-33.6386,-40.6386,87.0091,87.0091
133.445,80.5857,81.4113,-33.4023,-40.4023,87.0289,87.0289
133.974,80.5342,81.4954,-33.1660,-40.1660,87.0487,87.0487
134.504,80.4821,81.5791,-32.9297,-39.9297,87.0685,87.0685
135.037,80.4295,81.6622,-32.6934,-39.6934,87.0883,87.0883
135.571,80.3764,81.7447,-32.4571,-39.4571,87.1081,87.1081
136.108,80.3228,81.8268,-32.2208,-39.2208,87.1279,87.1279
136.647,80.2686,81.9083,-31.9845,-38.9845,87.1477,87.1477
137.188,80.2138,81.9894,-31.7482,-38.7482,87.1675,87.1675
137.731,80.1586,82.0698,-31.5119,-38.5119,87.1873,87.1873
138.276,80.1028,82.1498,-31.2756,-38.2756,87.2071,87.2071
138.824,80.0464,82.2292,-31.0394,-38.0394,87.2268,87.2268
139.373,79.9895,82.3081,-30.8031,-37.8031,87.2466,87.2466
139.925,79.9321,82.3865,-30.5668,-37.5668,87.2663,87.2663
140.479,79.8741,82.4643,-30.3306,-37.3306,87.2860,87.2860
141.035,79.8156,82.5416,-30.0943,-37.0943,87.3057,87.3057
141.594,79.7565,82.6184,-29.8580,-36.8580,87.3254,87.3254
142.154,79.6969,82.6946,-29.6218,-36.6218,87.3451,87.3451
142.717,79.6367,82.7703,-29.3855,-36.3855,87.3647,87.3647
143.282,79.5760,82.8455,-29.1493,-36.1493,87.3843,87.3843
143.849,79.5147,82.9201,-28.9131,-35.9131,87.4039,87.4039
144.419,79.4529,82.9942,-28.6768,-35.6768,87.4234,87.4234
144.991,79.3906,83.0677,-28.4406,-35.4406,87.4429,87.4429
145.565,79.3276,83.1408,-28.2044,-35.2044,87.4624,87.4624
146.141,79.2642,83.2132,-27.9681,-34.9681,87.4818,87.4818
146.720,79.2001,83.2851,-27.7319,-34.7319,87.5012,87.5012
147.300,79.1355,83.3565,-27.4957,-34.4957,87.5206,87.5206
147.884,79.0704,83.4273,-27.2595,-34.2595,87.5399,87.5399
148.469,79.0047,83.4976,-27.0233,-34.0233,87.5591,87.5591
149.057,78.9385,83.5674,-26.7871,-33.7871,87.5783,87.5783
149.647,78.8717,83.6366,-26.5509,-33.5509,87.5975,87.5975
150.240,78.8043,83.7053,-26.3147,-33.3147,87.6166,87.6166
150.834,78.7364,83.7734,-26.0785,-33.0785,87.6356,87.6356
151.432,78.6680,83.8410,-25.8423,-32.8423,87.6546,87.6546
152.031,78.5990,83.9080,-25.6061,-32.6061,87.6736,87.6736
152.633,78.5294,83.9745,-25.3700,-32.3700,87.6925,87.6924
153.237,78.4593,84.0404,-25.1338,-32.1338,87.7113,87.7113
153.844,78.3887,84.1059,-24.8976,-31.8976,87.7300,87.7300
154.453,78.3174,84.1707,-24.6615,-31.6615,87.7487,87.7487
155.065,78.2457,84.2351,-24.4253,-31.4253,87.7673,87.7673
